Type de circulation;Numero de journal;Id_image
Parution journal;Le Mirroir (18/05/1919);SHDGR__GR_2_K_247_195_018__0001.jpg
Parution journal;Excelsior (29/06/1919);SHDGR__GR_2_K_247_195_108__0001.jpg
Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_008__0001.jpg
Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_007__0001.jpg
Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_009__0001.jpg
Parution journal;Le Miroir (20/04/1919);SHDGR__GR_2_K_247_193_009__0001.jpg
Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_010__0001.jpg
Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_011__0001.jpg
Parution journal;Le Miroir (23/02/1919);SHDGR__GR_2_K_247_193_011__0001.jpg
Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_012__0001.jpg
Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_013__0001.jpg
Parution journal;Excelsior (26/07/1923);SHDGR__GR_2_K_247_193_014__0001.jpg
Parution journal;Journal des voyages et des aventures de terre et de mer - 13/05/1926;SHDGR__GR_2_K_247_158_253__0001.jpg
Parution journal;Journal des voyages et des aventures de terre et de mer - 13/05/1926;SHDGR__GR_2_K_247_158_254__0001.jpg
Parution journal;Journal des voyages et des aventures de terre et de mer - 17/06/1926;SHDGR__GR_2_K_247_158_258__0001.jpg
Parution journal;Journal des voyages et des aventures de terre et de mer - 17/06/1926;SHDGR__GR_2_K_247_158_293__0001.jpg
Parution journal;Le Miroir - 04/06/1916;SHDGR__GR_2_K_247_147_001__0001.jpg
Parution journal;Excelsior - 25/06/1916;SHDGR__GR_2_K_247_147_028__0001.jpg
Parution journal;Excelsior - 23/01/1918;SHDGR__GR_2_K_247_147_044__0001.jpg
Parution journal;Excelsior - 03-05-1917;SHDGR__GR_2_K_247_147_044__0001.jpg
