Id_lien;Type de circulation;Numero de journal;Id_image;Lien d’accès
0;Parution journal;Le Mirroir (18/05/1919);SHDGR__GR_2_K_247_195_018;https://gallica.bnf.fr/ark:/12148/bpt6k65662367/f8.item
1;Parution journal;Excelsior (29/06/1919);SHDGR__GR_2_K_247_195_108;https://gallica.bnf.fr/ark:/12148/bpt6k46059672/f1.item
2;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_008;https://gallica.bnf.fr/ark:/12148/bpt6k46058061/f1.item
3;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_007;https://gallica.bnf.fr/ark:/12148/bpt6k46058061/f1.item
4;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_009;https://gallica.bnf.fr/ark:/12148/bpt6k6566232k/f8.item
5;Parution journal;Le Miroir (20/04/1919);SHDGR__GR_2_K_247_193_009;https://gallica.bnf.fr/ark:/12148/bpt6k6566232k/f8.item
6;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_010;https://gallica.bnf.fr/ark:/12148/bpt6k46058061/f1.item
7;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_011;https://gallica.bnf.fr/ark:/12148/bpt6k65662241/f8.item
8;Parution journal;Le Miroir (23/02/1919);SHDGR__GR_2_K_247_193_011;https://gallica.bnf.fr/ark:/12148/bpt6k65662241/f8.item
9;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_012;https://gallica.bnf.fr/ark:/12148/bpt6k46058061/f1.item
10;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_013;https://gallica.bnf.fr/ark:/12148/bpt6k46058061/f1.item
11;Parution journal;Excelsior (26/07/1923);SHDGR__GR_2_K_247_193_014;https://gallica.bnf.fr/ark:/12148/bpt6k4605279v/f1.item
12;Parution journal;Journal des voyages et des aventures de terre et de mer - 13/05/1926;SHDGR__GR_2_K_247_158_253;https://gallica.bnf.fr/ark:/12148/bpt6k6864156r/f16.item
13;Parution journal;Journal des voyages et des aventures de terre et de mer - 13/05/1926;SHDGR__GR_2_K_247_158_254;https://gallica.bnf.fr/ark:/12148/bpt6k6864156r/f15.item
14;Parution journal;Journal des voyages et des aventures de terre et de mer - 17/06/1926;SHDGR__GR_2_K_247_158_258;https://gallica.bnf.fr/ark:/12148/bpt6k68641612/f11.item
15;Parution journal;Journal des voyages et des aventures de terre et de mer - 17/06/1926;SHDGR__GR_2_K_247_158_293;https://gallica.bnf.fr/ark:/12148/bpt6k68641612/f10.item
16;Parution journal;Le Miroir - 04/06/1916;SHDGR__GR_2_K_247_147_001;https://gallica.bnf.fr/ark:/12148/bpt6k6522759m/f7.item
17;Parution journal;Excelsior - 25/06/1916;SHDGR__GR_2_K_247_147_028;https://gallica.bnf.fr/ark:/12148/bpt6k4606783s/f6.item
18;Parution journal;Excelsior - 23/01/1918;SHDGR__GR_2_K_247_147_044;https://gallica.bnf.fr/ark:/12148/bpt6k4606410v/f2.item
19;Parution journal;Excelsior - 03-05-1917;SHDGR__GR_2_K_247_147_044;https://gallica.bnf.fr/ark:/12148/bpt6k4606410v/f2.item
